Freq	3K	5K	8K	10K	12K	14K	16K	18K	20K	22K	25K	30K	40K	50K	70K	100K	125K	297K	3K_er	5K_er	8K_er	10K_er	12K_er	14K_er	16K_er	18K_er	20K_er	22K_er	25K_er	30K_er	40K_er	50K_er
1.1857023	0.16906	0.168773	0.167982	0.169058	0.16853	0.168498	0.168414	0.168867	0.168858	0.170128	0.17157	0.172111	0.169768	0.16554	0.145781	0.126167	0.103038	0.00365277	0.000983522	0.000981852	0.000977252	0.000983509	0.000980436	0.000980252	0.000979762	0.000982398	0.00098235	0.000989738	0.000998122	0.00100127	0.00098764	0.000963043
1.2003406	0.166236	0.165843	0.165031	0.165954	0.165803	0.165572	0.165416	0.165732	0.165848	0.167131	0.168057	0.168618	0.166252	0.162075	0.142651	0.122938	0.0996674	0.00417102	0.00109177	0.00108919	0.00108386	0.00108992	0.00108892	0.00108741	0.00108639	0.00108846	0.00108923	0.00109765	0.00110373	0.00110742	0.00109188	0.00106444
1.2149789	0.163271	0.162737	0.162005	0.162759	0.162868	0.162528	0.162253	0.162494	0.162723	0.163904	0.164447	0.164964	0.162645	0.158572	0.139447	0.119863	0.0966809	0.00456402	0.00104195	0.00103855	0.00103387	0.00103868	0.00103938	0.00103721	0.00103546	0.00103699	0.00103846	0.001046	0.00104946	0.00105276	0.00103796	0.00101197
1.2296172	0.15972	0.159024	0.158425	0.159063	0.159255	0.158881	0.158473	0.158711	0.159027	0.160001	0.160342	0.160806	0.15857	0.154651	0.136042	0.116819	0.0939448	0.00460455	0.000930235	0.000926181	0.000922693	0.000926404	0.000927522	0.000925345	0.000922973	0.000924359	0.000926197	0.000931869	0.000933855	0.000936558	0.000923535	0.000900709
1.2442555	0.155297	0.154451	0.153985	0.154592	0.1547	0.154335	0.153838	0.154123	0.15449	0.155198	0.155515	0.155976	0.1538	0.150074	0.132361	0.113627	0.0912011	0.00422514	0.000881361	0.000876561	0.000873912	0.00087736	0.000877974	0.000875901	0.000873081	0.000874694	0.000876777	0.0008808	0.000882598	0.00088521	0.000872861	0.00085172
1.2588938	0.149955	0.149021	0.148646	0.149301	0.14922	0.148882	0.148391	0.148723	0.149107	0.149566	0.15	0.15052	0.14834	0.144843	0.128404	0.110184	0.0882564	0.00356584	0.0009804	0.000974297	0.000971843	0.000976129	0.000975596	0.000973386	0.000970177	0.000972345	0.00097486	0.000977857	0.000980694	0.000984098	0.000969842	0.00094698
1.2735321	0.14389	0.142973	0.142638	0.14338	0.143085	0.142778	0.142417	0.142755	0.143129	0.143423	0.144061	0.144678	0.142434	0.139194	0.12426	0.10653	0.0850918	0.00294506	0.00122532	0.00121752	0.00121467	0.00122098	0.00121847	0.00121586	0.00121278	0.00121566	0.00121884	0.00122135	0.00122679	0.00123203	0.00121293	0.00118533
1.2881704	0.13747	0.136678	0.13636	0.137177	0.136718	0.136432	0.136317	0.136615	0.136947	0.137209	0.138083	0.138784	0.136473	0.133498	0.120081	0.102808	0.0818471	0.00267178	0.00153137	0.00152254	0.001519	0.0015281	0.00152299	0.0015198	0.00151852	0.00152184	0.00152554	0.00152846	0.00153819	0.001546	0.00152026	0.00148712
1.3028087	0.13112	0.130505	0.130228	0.13108	0.13055	0.130245	0.130463	0.130705	0.130955	0.131309	0.132412	0.133156	0.13084	0.128107	0.11601	0.0991828	0.0787292	0.00273187	0.00178631	0.00177793	0.00177415	0.00178576	0.00177853	0.00177438	0.00177735	0.00178065	0.00178405	0.00178888	0.00180391	0.00181404	0.00178248	0.00174526
1.317447	0.125195	0.12472	0.124548	0.125386	0.124883	0.124489	0.125085	0.125303	0.125414	0.125924	0.127248	0.127991	0.125759	0.12322	0.112103	0.0957388	0.0759069	0.00287996	0.00191299	0.00190573	0.0019031	0.00191591	0.00190822	0.0019022	0.00191131	0.00191464	0.00191633	0.00192412	0.00194435	0.00195572	0.00192161	0.0018828
1.3320853	0.11989	0.119435	0.119444	0.120228	0.119823	0.119261	0.120236	0.120478	0.120404	0.121038	0.122606	0.123319	0.121228	0.11883	0.108282	0.0924355	0.0734337	0.00296324	0.00190049	0.00189327	0.00189342	0.00190584	0.00189943	0.00189052	0.00190597	0.00190981	0.00190864	0.00191869	0.00194354	0.00195484	0.0019217	0.00188368
1.3467236	0.115215	0.114623	0.114871	0.115571	0.115296	0.114511	0.115818	0.116113	0.115846	0.116496	0.118362	0.119017	0.117057	0.114777	0.104366	0.0891199	0.0712103	0.00291775	0.00179091	0.00178171	0.00178558	0.00179645	0.00179217	0.00177997	0.0018003	0.00180487	0.00180072	0.00181082	0.00183984	0.00185001	0.00181954	0.00178411
1.3613619	0.111038	0.110173	0.110682	0.111273	0.111126	0.11011	0.111671	0.111991	0.111578	0.112125	0.114327	0.114892	0.112997	0.110844	0.100162	0.0855918	0.0690012	0.00268341	0.00164317	0.00163036	0.00163789	0.00164664	0.00164446	0.00162942	0.00165253	0.00165726	0.00165114	0.00165924	0.00169183	0.00170019	0.00167215	0.00164028
1.3760002	0.107178	0.105961	0.106714	0.107175	0.107139	0.105934	0.107655	0.107923	0.107451	0.107841	0.110323	0.110778	0.108871	0.106859	0.0955888	0.0817009	0.0665168	0.00223573	0.00149938	0.00148236	0.00149289	0.00149934	0.00149884	0.00148198	0.00150605	0.0015098	0.0015032	0.00150866	0.00154337	0.00154975	0.00152306	0.00149492
1.3906385	0.103487	0.101905	0.102859	0.103174	0.103232	0.101912	0.103708	0.103828	0.10339	0.103667	0.106242	0.106602	0.10463	0.102758	0.0907643	0.0774429	0.0635418	0.0016576	0.0013681	0.0013472	0.0013598	0.00136397	0.00136473	0.00134728	0.00137103	0.00137262	0.00136682	0.00137049	0.00140452	0.00140928	0.00138322	0.00135847
1.4052768	0.0998963	0.0979921	0.0990845	0.099259	0.0993857	0.0980367	0.099852	0.0997525	0.0994079	0.0996818	0.102075	0.1024	0.100348	0.0985882	0.0860032	0.0730161	0.0600592	0.00117227	0.00122842	0.001205	0.00121843	0.00122058	0.00122214	0.00120555	0.00122787	0.00122665	0.00122241	0.00122578	0.0012552	0.00125921	0.00123397	0.00121233
1.4199151	0.0964098	0.09426	0.0954283	0.0954885	0.0956353	0.0943463	0.0961485	0.0958127	0.0955744	0.0959387	0.0979051	0.0982799	0.0961535	0.0944734	0.081713	0.0687945	0.0563103	0.00110581	0.00105503	0.0010315	0.00104429	0.00104495	0.00104655	0.00103245	0.00105217	0.0010485	0.00104589	0.00104987	0.00107139	0.00107549	0.00105222	0.00103384
