Freq	3K	5K	10K	15K	20K	25K	30K	35K	40K	50K	70K	100K	125K	150K	175K	200K	225K	250K	275K	296K
1.90847097	0.0337721	0.0323749	0.0321035	0.0332245	0.0326147	0.0295857	0.0366843	0.0316881	0.0320878	0.0288862	0.0262464	0.0245469	0.0179668	0.0124909	0.00695823	0.0036858	0.00191302	0.00102278	0.00148608	0.00140863
1.91030076	0.0336844	0.0322749	0.0320267	0.0331186	0.0324872	0.0294814	0.0365753	0.0315725	0.0319858	0.0288123	0.0261109	0.024461	0.0178393	0.0124411	0.00699757	0.00372462	0.00197877	0.00101892	0.00150582	0.00137108
1.91213055	0.0335963	0.032176	0.0319509	0.0330144	0.0323644	0.0293771	0.0364677	0.0314569	0.0318827	0.0287408	0.0259771	0.024376	0.0177142	0.0123922	0.00704175	0.00376697	0.00205273	0.0010122	0.00152411	0.00133146
1.91396034	0.0335076	0.032078	0.0318758	0.0329116	0.0322464	0.0292729	0.0363615	0.0313411	0.0317782	0.0286715	0.0258448	0.0242917	0.0175918	0.0123442	0.00709037	0.00381233	0.00213443	0.00100276	0.00154075	0.00128985
1.91579013	0.0334179	0.0319807	0.0318011	0.0328102	0.0321329	0.0291687	0.0362564	0.031225	0.0316724	0.0286039	0.025714	0.024208	0.0174722	0.0122971	0.00714293	0.0038602	0.00222326	0.000990773	0.00155543	0.00124631
1.91761992	0.033327	0.0318838	0.0317265	0.0327099	0.032024	0.0290645	0.0361525	0.0311086	0.0315653	0.0285375	0.0255847	0.0241249	0.0173555	0.012251	0.00719893	0.00391011	0.00231868	0.000976415	0.00156795	0.00120092
1.91944971	0.0332347	0.0317873	0.0316518	0.032611	0.0319194	0.0289603	0.0360494	0.0309916	0.0314568	0.028472	0.0254567	0.0240421	0.0172418	0.0122057	0.00725785	0.00396146	0.00241997	0.000959873	0.00157804	0.00115382
1.9212795	0.0331408	0.0316908	0.0315767	0.0325132	0.0318189	0.0288562	0.0359473	0.0308741	0.0313469	0.0284067	0.02533	0.0239597	0.0171312	0.0121612	0.00731905	0.00401374	0.00252654	0.000941435	0.00158544	0.00110512
1.92310929	0.0330451	0.0315941	0.031501	0.0324165	0.0317223	0.0287523	0.0358459	0.0307558	0.0312356	0.0283413	0.0252046	0.0238774	0.0170239	0.0121175	0.00738197	0.00406633	0.00263766	0.000921354	0.00158994	0.00105501
1.92493908	0.0329474	0.031497	0.0314244	0.0323207	0.0316294	0.0286485	0.0357452	0.0306367	0.0311232	0.0282753	0.0250806	0.0237952	0.0169198	0.0120747	0.00744602	0.00411864	0.00275261	0.000899922	0.0015913	0.00100369
1.92676887	0.0328477	0.0313994	0.0313468	0.0322257	0.0315397	0.028545	0.035645	0.0305169	0.0310096	0.0282084	0.024958	0.0237128	0.0168191	0.0120327	0.0075105	0.0041701	0.00287059	0.00087737	0.0015893	0.000951379
1.92859866	0.0327458	0.0313011	0.0312679	0.0321314	0.0314529	0.028442	0.0355453	0.030396	0.030895	0.0281399	0.0248368	0.0236303	0.0167217	0.0119914	0.00757482	0.0042201	0.00299084	0.000854086	0.00158376	0.000898452
1.93042845	0.0326416	0.0312018	0.0311877	0.0320377	0.0313688	0.0283394	0.0354463	0.0302741	0.0307796	0.0280694	0.024717	0.0235473	0.0166277	0.011951	0.00763834	0.00426802	0.00311247	0.000830308	0.0015745	0.000845189
1.93225824	0.032535	0.0311015	0.0311059	0.0319446	0.0312868	0.0282373	0.0353476	0.0301512	0.0306634	0.0279966	0.0245988	0.0234637	0.0165371	0.0119113	0.00770046	0.00431331	0.00323459	0.000806347	0.00156133	0.000792058
1.93408803	0.0324258	0.031	0.0310224	0.0318517	0.0312066	0.0281359	0.0352492	0.0300271	0.0305466	0.027921	0.0244822	0.0233795	0.0164498	0.0118724	0.00776055	0.00435535	0.00335637	0.000782485	0.00154414	0.000739591
1.93591782	0.0323141	0.0308971	0.0309371	0.031759	0.0311277	0.0280353	0.0351512	0.0299018	0.0304294	0.0278422	0.0243672	0.0232942	0.0163658	0.0118342	0.0078181	0.00439366	0.00347687	0.000758985	0.0015228	0.000688433
1.93774761	0.0321999	0.0307928	0.0308499	0.0316665	0.0310497	0.0279354	0.0350535	0.0297754	0.0303121	0.0277599	0.024254	0.023208	0.0162851	0.0117966	0.00787248	0.00442764	0.00359518	0.000736072	0.00149725	0.000639304
